Dept_Cd,Department
AUC022,TRC DOWNTOWN
CTR030,MINORITY ACC RESEARCH CAREERS
ALF003,ART GALLERY
CTR056,ITC VOLUNTEER SERVICES
AUC021,OFC OF SCH DEV & POST GRAD ADV
ARC003,CONFUCIUS INSTITUTE
BFC006,FACILTIES GROUNDS
ABS007,COB BUSINESS SCHOLARS PROGRAM
AEH003,COEHD DOWNTOWN CAMPUS
PRS007,UTSA ART COLLECTION
AUC019,MULTIDICISPLINARY STUDIES PRGM
CTR016,CTR FOR CULTURAL SUSTNMT
AEH008,COEHD AFRICAN AMERICAN STDY
CTR001,CAPRI / MEXICO CENTER
CTR023,SA INST CELLULAR & MOLE PRIM
ABS006,COB UNDERGRADUATE STUDIES
ABS019,COB ENTREPREN & TECH MGMT
